SpeciesAuthor, end_month, win_open, win_clos, beta, se_beta, p_c, p_a
Adenocarpus_gibbsianus, 8, 14, 14, -4.42386202987265, 0.194788047455099, 0.603197894149568, 0.223
Anarrhinum_fruticosum, 8, 21, 4, 0.630450168087101, 0.0506519573133794, 0.219184221837212, 0.227
Arenaria_bolosii, 8, 1, 0, -0.00357574821531471, 0.00015286808773541, 0.534263363487778, 0.5
Armeria_merinoi, 8, 5, 4, -0.261816464583958, 0.0998573196589563, 0.444609338819592, 0.461
Astragalus_scaphoides, 8, 6, 5, 0.891428203184487, 0.260020117734499, 0.614372801921194, 0.488
Astragalus_scaphoides_2, 8, 18, 8, -0.549312593223671, 0.132945249547781, 0.0641518512670811, 0.025
Astragalus_tremolsianus, 8, 11, 11, 0.134574463841197, 0.00835997761852108, 0.0883444667296383, 0.096
Brassica_insularis, 8, 24, 24, -0.0655470913426646, 0.0238824457137736, 0.549792618289603, 0.314
Cheirolophus_metlesicsii, 8, 7, 6, -0.126849625628913, 0.0216908358693302, 0.88548986964314, 0.737
Cypripedium_calceolus_2, 8, 5, 1, -0.231928213975695, 0.0365096303502897, 0.0211329942522644, 0.015
Dorycnium_spectabile, 8, 21, 18, -1.05115998964947, 0.303955469513004, 0.429218591493355, 0.42
Echinospartum_algibicum, 8, 1, 1, NA, NA, 0.557522918381205, 1
Erodium_paularense, 8, 17, 16, 0.0825112814453204, 0.0286225367374224, 0.580532878967431, 0.497
Euphorbia_fontqueriana, 8, 21, 19, -0.0170549081282873, 0.00129669318849046, 0.0975691035506086, 0.167
Haplopappus_radiatus, 8, 14, 4, 0.593150979818132, 0.104292273444624, 0.0157856816939292, <0.001
Helianthemum_juliae, 11, 6, 2, 0.857155645723574, 0.238075521083467, 0.510853854649885, 0.489
Helianthemum_polygonoides, 8, 11, 10, 0.207924343534566, 0.0716760000120302, 0.730572041421652, 0.961
Helianthemum_teneriffae, 8, 7, 2, -0.948614841540751, 0.141434497775581, 0.625428426202982, 0.568
Jurinea_fontqueri, 8, 2, 2, 0.838419601268482, 0.0838540561112312, 0.557522918381205, 0.538
Kosteletzkya_pentacarpos, 8, 9, 5, 0.250290247673172, 0.0505175683084411, 0.323303648213104, 0.198
Laserpitium_longiradium, 8, 8, 8, 0.216797810120365, 0.04467375475345, 0.748640207807423, 0.743
Limonium_erectum, 8, 13, 10, 0.323668880274088, 0.0570822109178985, 0.565225450302661, 0.635
Limonium_malacitanum, 8, 18, 7, -0.215965793999846, 0.0249944592082575, 0.174802537989987, 0.415
Opuntia_rastrera, 8, 5, 3, 0.0231647298891131, 0.01694390639782, 0.591914253662552, 0.922
Paeonia_officinalis, 6, 3, 0, -0.202604920342082, 0.13123149584385, 0.599448227778519, 0.712
Parolinia_glabriuscula, 8, 16, 14, 0.298021137927646, 0.0379090989011854, 0.742707942780566, 0.568
Pseudomisopates_rivas-martinezii, 8, 17, 13, 0.290290078355586, 0.15345120993207, 0.576719329258864, 0.682
Purshia_subintegra, 6, 22, 1, NA, NA, 0.561377881539779, 1
Pyrrocoma_radiata, 8, 14, 14, 0.239002031150211, 0.0319137709775804, 0.0127207904567996, <0.001
Ramonda_myconi, 8, 19, 15, -0.154270180947097, 0.0412744865976735, 0.219184221837212, 0.01
Santolina_melidensis, 8, 21, 15, 0.216059022662104, 0.00252159499522841, 0.0765318560680933, 0.012
Vella_pseudocytisus_paui, 8, 10, 7, 0.166219666028602, 0.0352201251824997, 0.198522391327019, 0.063
Vella_pseudocytisus_paui_2, 6, 24, 20, -0.0722135393165067, 0.0102367181410977, 0.016787740564143, 0.012
Vella_pseudocytisus_pseudocytisus, 8, 12, 11, 0.16603993543479, 0.0214512039397976, 0.413963511426553, 0.359
